Card ID,Card Name,Illustrator,Rarity,Release Date,Set Name,Date,Boxonly,Cib,Graded,Manualonly,New,Used
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-06-01,440800,99000,361636,2060000,180821,50945
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-07-01,440800,108517,297092,2060000,170000,40801
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-08-01,630000,99015,272566,1229900,146664,41750
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-09-01,457087,92250,277518,1750497,153243,60558
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-10-01,457113,109900,262745,1900000,157450,54443
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-11-01,630000,110100,263750,1955921,157527,51245
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-12-01,630000,106033,262500,1900000,157452,40211
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-01-01,630000,116291,262356,1950000,144950,23710
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-02-01,630000,99447,265701,1950000,148534,30500
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-03-01,630000,99725,273360,1900000,153607,37273
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-04-01,600000,100500,302458,1657436,142313,48836
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-05-01,600000,100473,316762,1360100,152101,36842
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-06-01,600000,109951,298538,1360100,142313,55319
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-07-01,600000,109901,288155,1360100,149671,61100
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-08-01,600000,109901,270037,1360100,151250,52000
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-09-01,600000,86099,265720,1360100,151875,57664
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-10-01,600000,88500,260105,1360100,148142,57000
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-11-01,600000,89750,263550,1125645,138182,51000
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-12-01,600000,84500,275207,1148545,135000,49063
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-01-01,600000,91053,299700,1150100,122394,61310
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-02-01,319000,88513,290000,1543838,140858,55250
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-03-01,324300,108800,294850,1290822,141250,49250
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-04-01,274665,108749,266893,1295000,135280,45528
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-05-01,321019,110193,241861,1307399,138750,41500
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-06-01,302657,111836,265050,1346841,139459,53188
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-07-01,310517,110000,252000,1360100,141477,54418
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-08-01,345971,115000,234380,1267272,154950,54000
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-09-01,347902,113368,237139,1267660,145000,59610
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-10-01,400000,106082,251000,1267660,153394,74694
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-11-01,400000,102726,252044,1267660,152842,68463
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-12-01,400000,107500,275000,1267660,155171,88516
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-01-01,400000,110863,289861,1267660,150250,69003
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-02-01,377119,123006,301543,1260016,175443,72358
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-03-01,379727,129059,341444,1273850,187500,74558
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-04-01,340350,128125,300209,1273850,210000,72623
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-05-01,340350,132336,290112,1273850,226200,88128
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-06-01,340350,138264,298523,1290430,233550,94023
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-07-01,340350,137370,327368,1288894,230003,89564
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-08-01,398500,150000,362291,1290943,227109,80750
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-09-01,469800,133933,427071,1456899,229531,80959
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-10-01,471600,125872,428737,1423551,242050,80959
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-01-01,0,16750,68000,245000,40000,9688
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-02-01,0,16750,74230,245000,41703,7219
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-03-01,460500,18500,71555,598700,35250,12722
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-04-01,311283,18250,78443,404700,31875,10000
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-05-01,331936,14663,70495,431500,26929,10125
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-06-01,331936,16126,70718,431500,19700,4662
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-07-01,331936,14254,62417,431500,20175,11028
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-08-01,331936,14260,47735,431500,20100,8282
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-09-01,331936,14250,34228,431500,18567,8105
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-10-01,331936,11075,36080,431500,18965,6508
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-11-01,0,9850,36229,155067,18047,8700
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2021-12-01,0,8407,33350,167000,19375,6483
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-01-01,0,9084,33000,199900,15555,6150
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-02-01,0,8911,31517,177675,15125,5250
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-03-01,0,11233,32442,160102,16500,5778
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-04-01,0,11469,33384,160856,16431,5100
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-05-01,0,10335,32941,158951,17500,4452
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-06-01,0,10544,28482,153436,16750,3786
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-07-01,0,9900,21514,151491,16750,3378
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-08-01,0,11950,25480,144316,18432,5246
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-09-01,0,11619,33099,140392,16875,5300
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-10-01,0,10569,39900,157546,16610,6331
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-11-01,103507,10100,33987,158086,14537,3294
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2022-12-01,100516,9134,33516,123750,13935,8577
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2023-01-01,100707,10000,27471,116250,10840,7384
715647,Pikachu Base Set,Mitsuhiro Arita,Common,"January 9, 1999",Base Set,2023-02-01,100909,10704,27050,122700,12291,8077
